"","Site","WY","P_ET_1km","P_ET_5km"
"287","MVC",2013,298.67067899372,207.484006470943
"288","BUT",2013,614.242265446996,624.475469052288
"289","WBUT",2013,726.206767516252,672.975442005493
"290","MAR",2013,686.486118439475,619.013207198679
"291","NFFR",2013,559.304611945004,532.927798942944
"292","WAR",2013,356.808528972292,335.704179482764
"293","GSW",2013,1031.3722856901,1083.25886316401
"294","TBCG",2013,192.47370919033,184.092840611205
"295","AMC",2013,852.178572966517,874.784021898394
"296","MCL",2013,517.765882325279,530.07579920703
"297","CCNB",2014,54.196021839658,81.649563511723
"298","CFSR",2014,272.898113198858,285.980049751197
"299","ARN",2014,260.583038908571,282.03872967375
"300","CRP",2014,57.9783552260636,60.590144270392
"301","CAT",2014,130.809658095443,138.635825254762
"302","SIAR",2014,159.878409930488,170.530411795445
"303","LYN",2014,303.560529616506,256.024216055015
"304","TRAV",2014,206.854161074713,113.334225387442
"305","BR55",2014,62.5117221212192,58.5550243868751
"306","DC116",2014,67.805334753934,109.802040517558
"307","DC110",2014,56.17121685798,98.4223559963744
"308","EFAR",2014,310.015999761979,386.765061753399
"309","MON",2014,373.751880840812,460.907515141433
"310","DC20",2014,245.867379915079,232.042765667853
"311","FUL",2014,438.006677428559,421.355321377332
"312","DC10",2014,213.365671712734,274.602892366167
"313","ROCK",2014,195.50844221398,253.574415905198
"314","BR10",2014,466.78622138027,471.863835091943
"315","SHADY",2014,133.558794009778,127.124302373524
"316","OC10",2014,120.073994109449,137.534417675637
"317","CORC",2014,229.604822154787,178.477211892587
"318","NFY",2014,142.379216052042,125.515268961146
"319","COLD",2014,73.6533667438682,45.4801481716319
"320","HAY",2014,265.928374703457,303.842293421601
"321","CSLA",2014,402.382341372735,369.516312120623
"322","CACR",2014,341.002580152602,382.930409696924
"323","BCC",2014,112.783613548562,132.899979185154
"324","MVC",2014,-42.3910562611347,-124.989665196452
"325","BUT",2014,161.657760170629,176.15864270588
"326","WBUT",2014,242.953999901372,195.101338827206
"327","MAR",2014,326.566843266613,243.39125717645
"328","NFFR",2014,243.513290075199,211.985206009233
"329","WAR",2014,127.920387174743,104.391187378504
"330","GSW",2014,494.427415292318,544.44320543213
"331","TBCG",2014,7.18383119201212,-0.405576362466377
"332","AMC",2014,255.834778565378,258.015712603228
"333","MCL",2014,-98.9848568824835,-67.343710131649
"334","CCNB",2015,69.9215073158799,85.7033763249579
"335","CFSR",2015,299.099995111462,304.796569578903
"336","ARN",2015,281.570897884991,296.646895930196
"337","CRP",2015,119.320014520674,105.618743012486
"338","CAT",2015,177.976726284143,171.295377631124
"339","SIAR",2015,159.803375227726,159.433776174255
"340","LYN",2015,249.358149055813,205.802624907125
"341","TRAV",2015,211.793355567867,127.255364948217
"342","BR55",2015,102.572132330945,112.386718958696
"343","DC116",2015,100.47494652008,161.892037387119
"344","DC110",2015,98.0766098822525,154.153278217381
"345","EFAR",2015,327.462007355573,396.454388847911
"346","MON",2015,403.477746865158,480.840416885853
"347","DC20",2015,258.112802356837,265.740964633805
"348","FUL",2015,466.258050912282,447.212921933272
"349","DC10",2015,249.094379671097,311.569234693035
"350","ROCK",2015,222.854885908346,287.722273622207
"351","BR10",2015,498.043142422012,491.68873203217
"352","SHADY",2015,102.720988376473,113.7481523459
"353","OC10",2015,170.688544680809,195.507710301649
"354","CORC",2015,320.253051395316,286.659050297661
"355","NFY",2015,251.981998705299,255.616284974327
"356","COLD",2015,76.0602823115024,54.4388845403277
"357","HAY",2015,366.191245785252,415.535729522402
"358","CSLA",2015,514.152105603983,493.639446211241
"359","CACR",2015,486.087598032872,532.098948650363
"360","BCC",2015,190.974473243133,207.02628291775
"361","MVC",2015,155.203762898322,79.5683151880612
"362","BUT",2015,416.972227093978,442.473316203317
"363","WBUT",2015,540.249399499012,485.268865746332
"364","MAR",2015,530.945052166457,450.98464554217
"365","NFFR",2015,428.322802663795,409.402493560193
"366","WAR",2015,260.293488871067,245.511286642808
"367","GSW",2015,974.647152277643,998.810809665289
"368","TBCG",2015,102.447791353704,86.2018135551145
"369","AMC",2015,656.379667633146,672.638630221598
"370","MCL",2015,442.044384165515,490.050672765134
"371","CCNB",2016,424.489263094179,443.24462321791
"372","CFSR",2016,789.991759166194,831.935165669425
"373","ARN",2016,769.006077078686,823.455293695936
"374","CRP",2016,617.009772682639,632.198815648876
"375","CAT",2016,661.602483047485,693.349009896249
"376","SIAR",2016,561.793741956551,591.958263786583
"377","LYN",2016,634.685235235214,627.705918929812
"378","TRAV",2016,703.148635993301,632.973532363158
"379","BR55",2016,245.64079119568,236.135900275236
"380","DC116",2016,399.242404008691,457.868059904256
"381","DC110",2016,386.721308214239,445.515798177166
"382","EFAR",2016,1049.02372124569,1110.67952055264
"383","MON",2016,1148.59184394477,1200.30398355462
"384","DC20",2016,845.771815555036,831.966497796404
"385","FUL",2016,1186.13053137288,1164.81377738015
"386","DC10",2016,913.019965375698,986.746056036552
"387","ROCK",2016,858.81369265706,922.66220403177
"388","BR10",2016,1224.33954633645,1216.32257781212
"389","SHADY",2016,527.110674659853,513.274444719957
"390","OC10",2016,708.946901200995,765.920144486467
"391","CORC",2016,963.880328594508,925.392825013849
"392","NFY",2016,830.838118969055,847.712060762408
"393","COLD",2016,300.674809609797,275.542552794236
"394","HAY",2016,1021.05663556458,1036.11734363742
"395","CSLA",2016,1241.32023304523,1256.52395399767
"396","CACR",2016,1324.92427784693,1310.39749849223
"397","BCC",2016,527.997304585276,582.75532339665
"398","MVC",2016,484.43611190927,406.295029953749
"399","BUT",2016,954.663277282943,981.714332342348
"400","WBUT",2016,1057.69475787759,1017.76296311787
"401","MAR",2016,983.157866038865,922.910406693467
"402","NFFR",2016,827.732125607347,777.378743742479
"403","WAR",2016,657.848604432,637.560300606626
"404","GSW",2016,1330.08890387608,1393.52672476715
"405","TBCG",2016,305.520857945419,279.30556135577
"406","AMC",2016,1210.38839718056,1209.6195428092
"407","MCL",2016,853.586404553346,860.945518588532
"408","CCNB",2017,833.41610072097,854.509111579628
"409","CFSR",2017,1867.60061405814,1925.96302010902
"410","ARN",2017,1840.26115103555,1898.84191206868
"411","CRP",2017,1539.15563316022,1570.48561498935
"412","CAT",2017,1627.75432036732,1620.60994726635
"413","SIAR",2017,1448.32555777936,1477.78582803001
"414","LYN",2017,1584.67516106675,1527.11270269639
"415","TRAV",2017,1495.05402964825,1420.20580224151
"416","BR55",2017,665.290701528009,655.170956276997
"417","DC116",2017,896.051808555754,951.424375429422
"418","DC110",2017,876.839681988328,930.769057506443
"419","EFAR",2017,2233.83169801555,2329.35974320546
"420","MON",2017,2364.27232049081,2477.80581980941
"421","DC20",2017,1696.06912262403,1679.13435507223
"422","FUL",2017,2404.49678965228,2425.0670630229
"423","DC10",2017,1979.66365821122,2084.4202618958
"424","ROCK",2017,1857.03274327958,1894.36264668478
"425","BR10",2017,2386.67696210123,2447.65222455637
"426","SHADY",2017,1186.35869592551,1186.32969320618
"427","OC10",2017,1585.06373144984,1584.99121986693
"428","CORC",2017,2013.85071807389,1995.6030992504
"429","NFY",2017,1867.60281371177,1860.96590193632
"430","COLD",2017,976.751857254141,939.586467598923
"431","HAY",2017,2225.86349940317,2324.44469611194
"432","CSLA",2017,2333.68256215981,2341.58132487419
"433","CACR",2017,2393.27848234543,2382.84794107406
"434","BCC",2017,1033.2060753118,1069.7891662599
"435","MVC",2017,979.646026317148,925.86650989908
"436","BUT",2017,1857.32306587771,1856.7237506854
"437","WBUT",2017,2006.57739394554,1939.42348804908
"438","MAR",2017,1646.06647924027,1587.55841175805
"439","NFFR",2017,1378.54510216128,1371.96818485487
"440","WAR",2017,1104.86599082289,1076.23894216887
"441","GSW",2017,2223.5269714779,2269.24765807605
"442","TBCG",2017,516.690933069391,501.651143268217
"443","AMC",2017,2022.22329196025,2034.77315998165
"444","MCL",2017,1493.33885067234,1498.80166741572
"445","CCNB",2018,108.713211176602,133.493567080962
"446","CFSR",2018,391.84370013322,425.373834873
"447","ARN",2018,390.986746939504,419.60520550138
"448","CRP",2018,165.939694574702,170.944215773136
"449","CAT",2018,255.027264745423,243.249830043946
"450","SIAR",2018,175.503491925373,181.512457225047
"451","LYN",2018,311.152988129877,271.49390947377
"452","TRAV",2018,380.480219994966,284.421183716216
"453","BR55",2018,225.340186666777,205.537453630802
"454","DC116",2018,213.135743776893,270.890087472115
"455","DC110",2018,202.045011274599,261.154832919488
"456","EFAR",2018,534.80996944615,634.202968969452
"457","MON",2018,620.889843597745,700.342085465154
"458","DC20",2018,412.416796958605,394.083189838961
"459","FUL",2018,691.001142951756,684.428641654458
"460","DC10",2018,479.825361792282,532.529961160665
"461","ROCK",2018,427.779013317923,457.083554971221
"462","BR10",2018,737.850997019773,720.315847212485
"463","SHADY",2018,253.04433013451,257.11913948425
"464","OC10",2018,320.266117466428,319.115873827455
"465","CORC",2018,456.897630188842,406.753051260918
"466","NFY",2018,361.721314865953,344.593157525736
"467","COLD",2018,114.0630307832,79.6587951561623
"468","HAY",2018,517.207410204917,557.031273562254
"469","CSLA",2018,635.638263679377,636.815706441077
"470","CACR",2018,554.550551586462,613.537528141403
"471","BCC",2018,99.7163729051906,141.419644141559
"472","MVC",2018,104.468106850955,-6.65371227111712
"473","BUT",2018,353.316749737249,394.933806249663
"474","WBUT",2018,434.441089046798,400.784221434757
"475","MAR",2018,440.159850563532,391.985082778739
"476","NFFR",2018,370.549344192215,338.415134026415
"477","WAR",2018,203.566136363529,177.344884561111
"478","GSW",2018,571.773066744695,675.441312850385
"479","TBCG",2018,56.4803282050559,60.3123450327492
"480","AMC",2018,409.490733207025,438.644535706766
"481","MCL",2018,175.534528637823,179.072923384775
"482","CCNB",2019,549.648429807863,593.054619171618
"483","CFSR",2019,1121.12463000097,1169.05672340668
"484","ARN",2019,1143.56922963972,1144.06062091524
"485","CRP",2019,836.267645219761,822.959565193733
"486","CAT",2019,972.373420650433,951.340582759293
"487","SIAR",2019,812.77474741948,818.079194858469
"488","LYN",2019,912.058488368049,906.110580380936
"489","TRAV",2019,835.550488888022,761.531842750259
"490","BR55",2019,558.389310718682,557.015568291029
"491","DC116",2019,596.461309941429,658.04989733117
"492","DC110",2019,584.460018780716,645.066620375733
"493","EFAR",2019,1405.87092935528,1483.40778485775
"494","MON",2019,1464.99503192155,1546.77824993357
"495","DC20",2019,1021.07164393087,1004.81738933044
"496","FUL",2019,1564.35328576593,1527.91789660096
"497","DC10",2019,1204.0984718312,1292.04026660584
"498","ROCK",2019,1137.29994898627,1187.13871827308
"499","BR10",2019,1511.78699851809,1509.22992396966
"500","SHADY",2019,693.984070135285,696.918353860978
"501","OC10",2019,885.097185947651,910.320213749638
"502","CORC",2019,1199.16213151294,1159.13574456419
"503","NFY",2019,1036.69553107062,1039.95695174444
"504","COLD",2019,358.543480744246,326.025751269513
"505","HAY",2019,1230.65489472067,1286.10320336943
"506","CSLA",2019,1534.90844026229,1525.12614866993
"507","CACR",2019,1598.61427152681,1609.90109406641
"508","BCC",2019,701.960262450868,723.975164039092
"509","MVC",2019,585.841412298458,502.105357305684
"510","BUT",2019,1159.62102425569,1136.62403679809
"511","WBUT",2019,1255.30404647875,1196.14791556932
"512","MAR",2019,1099.3955034193,1029.38277249024
"513","NFFR",2019,952.00318432387,956.769916429479
"514","WAR",2019,736.07371996706,772.437419108483
"515","GSW",2019,1596.58394928209,1738.16424112413
"516","TBCG",2019,451.202458851915,423.114959980548
"517","AMC",2019,1428.86845375504,1448.83265950213
"518","MCL",2019,1028.31244652238,1043.19836858011
"519","CCNB",2020,103.088305010969,142.53393665527
"520","CFSR",2020,398.537003140003,439.536991374979
"521","ARN",2020,426.329350676251,438.879309433763
"522","CRP",2020,59.586782752766,73.2501855071496
"523","CAT",2020,132.837910076452,136.814866885989
"524","SIAR",2020,121.976406602601,141.372313927317
"525","LYN",2020,124.719964808279,132.118391011351
"526","TRAV",2020,159.500106544281,110.310151422439
"527","BR55",2020,-54.3667600740546,-70.7838209932532
"528","DC116",2020,-66.2448494027326,-3.91909696108348
"529","DC110",2020,-73.9476059715889,-7.69089771168603
"530","EFAR",2020,205.406754942523,303.308277428376
"531","MON",2020,265.071114149821,374.422927312307
"532","DC20",2020,130.402435562364,138.693604690528
"533","FUL",2020,339.168332955213,353.56768963966
"534","DC10",2020,121.241473536606,209.239405770753
"535","ROCK",2020,134.543636166442,173.353102223208
"536","BR10",2020,356.315881689743,379.020351970456
"537","SHADY",2020,19.7500166381486,41.2539496094242
"538","OC10",2020,70.8759019277134,72.7128259915601
"539","CORC",2020,179.410673905046,112.257272848704
"540","NFY",2020,60.9117241427966,73.966072072825
"541","COLD",2020,-57.6936842304252,-120.614825974216
"542","HAY",2020,164.150273721263,209.397072422896
"543","CSLA",2020,239.081717833231,241.106064182012
"544","CACR",2020,336.546341253325,339.286925250757
"545","BCC",2020,-58.1357805068506,-39.7876233295498
"546","MVC",2020,-43.6197757597334,-143.744101045422
"547","BUT",2020,69.7057815838458,104.763821142425
"548","WBUT",2020,142.198525415786,124.075544862236
"549","MAR",2020,140.008907238825,71.1277832520261
