"","Site","Year","DevOpenSpace.1km","DevLowIntensity.1km","DeciduousForest.1km","EvergreenForest.1km","MixedForest.1km","Scrub.1km","GrasslandHerb.1km","WoodyWetlands.1km","EmergHerbWetlands.1km","DevMedIntensity.1km","BarrenLand.1km","OpenWater.1km","CultivCrops.1km","DevHighIntensity.1km","PastureHay.1km","TotalPixels.1km","DevOpenSpace.1km.pct","DevLowIntensity.1km.pct","DeciduousForest.1km.pct","EvergreenForest.1km.pct","MixedForest.1km.pct","Scrub.1km.pct","GrasslandHerb.1km.pct","WoodyWetlands.1km.pct","EmergHerbWetlands.1km.pct","DevMedIntensity.1km.pct","BarrenLand.1km.pct","OpenWater.1km.pct","CultivCrops.1km.pct","DevHighIntensity.1km.pct","PastureHay.1km.pct","OpenWater.5km","DevOpenSpace.5km","DevLowIntensity.5km","DevMedIntensity.5km","DevHighIntensity.5km","BarrenLand.5km","DeciduousForest.5km","EvergreenForest.5km","MixedForest.5km","Scrub.5km","GrasslandHerb.5km","PastureHay.5km","WoodyWetlands.5km","EmergHerbWetlands.5km","CultivCrops.5km","PerennialIceSnow.5km","TotalPixels.5km","OpenWater.5km.pct","DevOpenSpace.5km.pct","DevLowIntensity.5km.pct","DevMedIntensity.5km.pct","DevHighIntensity.5km.pct","BarrenLand.5km.pct","DeciduousForest.5km.pct","EvergreenForest.5km.pct","MixedForest.5km.pct","Scrub.5km.pct","GrasslandHerb.5km.pct","PastureHay.5km.pct","WoodyWetlands.5km.pct","EmergHerbWetlands.5km.pct","CultivCrops.5km.pct","PerennialIceSnow.5km.pct"
"21","CORC",2004,108,12,23,3148,0,195,1,0,0,0,0,0,0,0,0,3487,0.0309721823917408,0.00344135359908231,0.00659592773157442,0.902781760825925,0,0.0559219959850875,0.000286779466590192,0,0,0,0,0,0,0,0,0,3226,259,2,0,0,457,75818,0,5596,1885,0,0,0,0,0,87243,0,0.0369771786848229,0.00296871955343122,2.29244753160712e-05,0,0,0.00523824260972227,0.869043934756943,0,0.0641426819343672,0.0216063179853971,0,0,0,0,0
"22","NFY",2004,58,60,1,3143,0,121,51,29,0,6,1,16,0,0,0,3486,0.0166379804934022,0.0172117039586919,0.000286861732644865,0.901606425702811,0,0.0347102696500287,0.0146299483648881,0.00831899024670109,0,0.00172117039586919,0.000286861732644865,0.00458978772231784,0,0,0,51,2873,530,18,0,1,635,68756,0,13641,710,0,41,0,0,0,87256,0.000584487026680114,0.0329261025029797,0.00607408086549922,0.000206289538828275,0,1.14605299349042e-05,0.00727743650866416,0.787980196204273,0,0.156333088842028,0.00813697625378198,0,0.000469881727331072,0,0,0
"23","COLD",2004,40,103,0,2559,0,773,3,12,0,0,0,0,0,0,0,3490,0.0114613180515759,0.029512893982808,0,0.73323782234957,0,0.221489971346705,0.000859598853868195,0.00343839541547278,0,0,0,0,0,0,0,0,1006,492,6,0,0,2,40623,0,21799,93,0,477,16,0,0,64514,0,0.0155935145859813,0.00762625166630499,9.30030691012803e-05,0,0,3.10010230337601e-05,0.629677279350219,0,0.337895650556468,0.00144154757106985,0,0.00739374399355179,0.000248008184270081,0,0
"24","HAY",2004,101,40,11,3264,0,65,0,0,0,3,0,0,0,0,0,3484,0.0289896670493685,0.0114810562571757,0.00315729047072331,0.936854190585534,0,0.0186567164179104,0,0,0,0.000861079219288174,0,0,0,0,0,15,2115,794,40,0,960,128,71825,0,11180,11,0,180,5,0,0,87253,0.000171913859695369,0.024239854217047,0.00909997363987485,0.00045843695918765,0,0.0110024870205036,0.00146699826940048,0.823180864841323,0,0.128133130092948,0.000126070163776604,0,0.00206296631634442,5.73046198984562e-05,0,0
"25","CSLA",2004,51,18,0,3035,0,391,0,0,0,0,0,0,0,0,0,3495,0.0145922746781116,0.00515021459227468,0,0.868383404864092,0,0.111874105865522,0,0,0,0,0,0,0,0,0,518,2159,1132,23,0,79,72,75303,0,7879,1,0,69,5,0,0,87240,0.00593764328289775,0.0247478220999541,0.012975699220541,0.000263640531866116,0,0.000905547913801009,0.000825309491059147,0.863170563961486,0,0.0903140761118753,1.14626318202659e-05,0,0.000790921595598349,5.73131591013297e-05,0,0
"26","CACR",2004,181,17,0,3214,0,76,0,0,0,0,2,0,0,0,0,3490,0.0518624641833811,0.00487106017191977,0,0.920916905444126,0,0.0217765042979943,0,0,0,0,0.000573065902578797,0,0,0,0,5,2670,250,1,0,97,434,76296,0,3570,3718,0,158,40,0,0,87239,5.73138160685015e-05,0.0306055777805798,0.00286569080342507,1.14627632137003e-05,0,0.00111188803172893,0.00497483923474593,0.874562982152478,0,0.0409220646729101,0.0426185536285377,0,0.00181111658776465,0.000458510528548012,0,0
"27","BCC",2004,4,0,155,2116,2,998,212,0,0,0,0,0,0,0,0,3487,0.00114711786636077,0,0.0444508173214798,0.606825351304847,0.000573558933180384,0.286205907657012,0.0607972469171207,0,0,0,0,0,0,0,0,5,1971,785,29,0,0,1973,44907,10,28981,8542,0,30,0,0,0,87233,5.73177581878418e-05,0.0225946602776472,0.00899888803549116,0.000332442997489482,0,0,0.0226175873809224,0.514793713388282,0.000114635516375684,0.332225190008368,0.0979216580881089,0,0.00034390654912705,0,0,0
"28","MVC",2004,229,44,0,2473,0,364,21,63,264,9,0,0,0,0,22,3489,0.0656348523932359,0.0126110633419318,0,0.708799082831757,0,0.10432788764689,0.0060189165950129,0.0180567497850387,0.0756663800515907,0.00257953568357696,0,0,0,0,0.00630553167096589,10,4454,1427,68,0,119,0,74087,0,5976,256,36,230,587,0,0,87250,0.000114613180515759,0.0510487106017192,0.0163553008595989,0.000779369627507163,0,0.00136389684813754,0,0.849134670487106,0,0.0684928366762178,0.00293409742120344,0.000412607449856734,0.00263610315186246,0.00672779369627507,0,0
"29","BUT",2004,154,47,6,3029,0,117,0,129,0,7,0,0,0,0,0,3489,0.0441387216967613,0.0134709085697908,0.00171969045571797,0.868157065061622,0,0.0335339638865004,0,0.0369733447979364,0,0.00200630553167097,0,0,0,0,0,0,3666,462,13,0,0,567,77547,0,2924,873,0,997,200,0,0,87249,0,0.0420176735549978,0.00529518962968057,0.000148998842393609,0,0,0.00649864181824434,0.888801017776708,0,0.0335132780891472,0.0100058453392016,0,0.0114270650666483,0.0022922898829786,0,0
"30","WBUT",2004,319,29,0,2889,0,40,0,206,5,3,0,0,0,0,0,3491,0.0913778287023775,0.00830707533657978,0,0.827556574047551,0,0.0114580349470066,0,0.0590088799770839,0.00143225436837582,0.000859352621025494,0,0,0,0,0,0,3317,539,12,0,2,245,78666,0,2847,814,0,736,68,0,0,87246,0,0.0380189349654999,0.00617793365884969,0.000137542122274947,0,2.29236870458245e-05,0.0028081516631135,0.901657382573413,0,0.0326318685097311,0.00932994062765055,0,0.0084359168328634,0.000779405359558031,0,0
